Nome;Geolocalizzazione
Acerno;40.738290, 15.059341
Agropoli;40.350425694151205, 14.990632686592559
Albanella;40.484822633272316, 15.11680144537662
Alfano;40.18386859343606, 15.426559209646149
Altavilla Silentina;40.554929085415594, 15.123244703051324
Amalfi;40.649256444083726, 14.604027204556603
Angri;40.787108593626584, 14.587832430018217
Aquara;40.45642517737841, 15.249688616294907
Ascea;40.161744302109156, 15.180993106161754
Atena Lucana;40.497498660072985, 15.548542063111286
Atrani;40.69146569084401, 14.605401015463253
Auletta;40.568893795441504, 15.42554564859017
Baronissi;40.76582747075896, 14.7728173519992
Battipaglia;40.630591177280365, 14.976096287338477
Bellizzi;40.63041439922528, 14.947698378434778
Bellosguardo;40.429137444994865, 15.316242313254808
Bracigliano;40.85692814407573, 14.702203486519858
Buccino;40.70179525063016, 15.36602055457475
Buonabitacolo;40.341438150024906, 15.636752141103532
Caggiano;40.57040745410698, 15.499755926800463
Calvanico;40.78535241490285, 14.8276200318813
Camerota;40.03561950549615, 15.375868911910404
Campagna;40.672551250487814, 15.108503615580315
Campora;40.31133391274524, 15.292670409722133
Cannalonga;40.248032872552756, 15.298128839503576
Capaccio Paestum;40.432580085486826, 15.078673041889221
Casal Velino;40.19498019383228, 15.11134645921635
Casalbuono;40.221182483867025, 15.68423296058002
Casaletto Spartano;40.15605681803533, 15.627214297320048
Caselle in Pittari;40.17784271915391, 15.543102137985533
Castel San Giorgio;40.78876113913883, 14.706513979035776
Castel San Lorenzo;40.42701699962333, 15.232222082783549
Castelcivita;40.56670872254221, 15.277438247061276
Castellabate;40.30060467057951, 14.957944610866615
Castelnuovo Cilento;40.2196012142733, 15.176758162365827
Castelnuovo di Conza;40.824668258428574,15.31980022788048
Castiglione del Genovesi;40.72561964392662,14.844040721654894
Cava de' Tirreni;40.757885655784186, 14.710207674674953
Celle di Bulgheria;40.10211667774585, 15.399458209080795
Centola;40.07623180645173, 15.31268889932143
Ceraso;40.195293, 15.257350
Cetara;40.647251, 14.703168
Cicerale;40.341270, 15.137777
Colliano;40.724708, 15.292641
Conca dei Marini;40.618987, 14.574168
Controne;40.510536, 15.204582
Contursi Terme;40.650150, 15.240089
Corbara;40.722148, 14.591889
Corleto Monforte;40.436476, 15.380656
Cuccaro Vetere;40.162499, 15.306742
Eboli;40.615396, 15.054934
Felitto;40.770434, 14.798938
Fisciano;40.770434, 14.798938
Furore;40.618671, 14.553566
Futani;40.748599, 14.881684
Giffoni Sei Casali;40.740198, 14.896768
